cas;chem;use;sum;mol;state;vap
94-75-7;2,4-D;Active ingredient in herbicides.;C8H6Cl2O3;221.04;White powder;0
3383-96-8;Abate;Mosquito larvicide;C16H20O6P2S3;466.48;0;0
514-10-3;Abietic acid;Major active ingredient of rosin;C19H29COOH * phenanthrene ring system C20H30O2 (as in EINECS);302.44;Yellowish resinous powder;0
60-35-5;Acetamide;"Organic synthesis; general solvent; lacquers; explosives;";CH3CONH2 C2H5NO;59.07;0;0
67-64-1;Acetone;"Manufacture of smokeless powder; paints, varnishes,lacquers";CH3-CO-CH3 C3H6O;58.09;Clear colourless liquid.;270
75-05-8;Acetonitrile;"Solvent; manufacture of synthetic pharmaceuticals.";C2H3N;41.05;Colourless liquid. ;74
260-94-6;Acridine;Manufacturing source: coal tar.;C13H9N ;179.21;Small, colourless needles;0
107-02-8;Acrolein;0;C3H4O;56.07;Colourless to yellowish liquid;220
107-13-1;Acrylonitrile;Solvent. ;CH2=CHCN C3H3N;53.06;Colourless liquid.;100
116-06-3;Aldicarb;Soil applied insecticide, acaricide, and nematocide for use of;C7H14N2O2S ;190.29;White, crystalline solid. ;0.0001 
309-00-2;Aldrin;"Insecticide; fumigant.";C12H8Cl6;364.9;Brown and white crystalline solid;0.000023 
584-79-2;Allethrin;Synthetic insecticide.;C19H26O3;302.45;Clear, amber-coloured,  viscous liquid.;0
107-18-6;Allylalcohol;"Contact pesticide for weed seeds and certain fungi; solvent.";"CH2=CH-CH2OH; C3H6O";58.09;0;20
16065-83-1;Chromium(3+);0;Cr;52;0;0
71-36-3;1-butanol;1-butanol is used as an ingredient in perfumes and flavours;C4H10O;74.12;Colourless liquid.;4.4 
83-32-9;Acenaphthene;"Manufacturing source: petroleum refining; shale oil processing;";C12H10;154.21;White crystalline solid at room temperature, insoluble, denser;0.001 
208-96-8;Acenaphthylene;Manmade sources: in soots generated by the compustion of;C12H8;152.2;0;0
75-07-0;Acetaldehyde;Manufacturing source: organic chemical manufacturing.;C2H4O;44.1;Colourless liquid or gas.;740
107-11-9;Allylamine;0;CH2=CHCH2NH2 C3H7N;57.07;0;0
107-05-1;Allylchloride;0;CH2=CH-CH2Cl C3H5Cl;76.53;Colourless to pale yellow.;340
2032-59-9;Aminocarb;Nonsystemic insecticide, molluscicide.;C11H16N2O2;208.29;White crystalline solid.;0
103-84-4;Acetanilide;Stabilizer for cellulose ester coatings.;C8H9NO;135.16;0;0
64-19-7;Acetic acid;"Manufacturing source: beetsugar manufacturing; winery; vinegar";CH3COOH C2H4O2;60.05;Colourless liquid.;11.4 
108-24-7;Acetic anhydride;0;C4H6O3;102.09;Colourless liquid.;3.5 
78-92-2;2-Butanol;The principal use of 2-butanol is as a chemical intermediate;C4H10O;74.12;Colourless liquid.;12
61-82-5;Amitrole;Herbicide, plant growth regulator, phytocide. ;C2H4N4;84.08;Colourless crystals.;0
62-53-3;Aniline;Aniline is used in the manufacture of polyurethanes (MDI),;C6H7N;93.14;0;1
1397-94-0;Antimycin A;Poison for Streptomyces aureus;0;548.7;0;0
75-65-0;tert-Butanol;The primary use of tert-butanol is as a solvent. ;C4H10O;74.12;Solid (crystals).;31
